"","docket_id","start_date","date","open_close_status","company_name","oa_id","case_type1","case_type2","ric"
"1","I771F3E93235A11E080558336EA473530",2011-01-12,2011-01-12,"CLOSED_OTHER","PFIZER INC","OA-4295904722","Torts: Personal Injury - Product Liability (365)","Personal Injury","PFE.N"
"2","I9E8BF192242B11E088699D6FD571DABA",2011-01-14,2011-01-14,"CLOSED_OTHER","PFIZER INC","OA-4295904722","Torts: Personal Injury - Product Liability (365)","Personal Injury","PFE.N"
"3","IA81FE0FF242B11E09D9DAE30585BAA87",2011-01-18,2011-03-14,"CLOSED_SETTLED_OR_VOL_DISMISS","PFIZER INC","OA-4295904722","Torts: Personal Injury - Product Liability (365)","Personal Injury","PFE.N"
"4","IFECF845223AA11E088699D6FD571DABA",2011-01-18,2011-11-01,"CLOSED_SETTLED_OR_VOL_DISMISS","BAXTER INTERNATIONAL, INC.","OA-4295903531","Torts: Personal Injury - Product Liability (365)","Personal Injury","BAX.N"
"5","I55420087244F11E09D9DAE30585BAA87",2011-01-19,2011-08-09,"CLOSED_SETTLED_OR_VOL_DISMISS","WALGREEN CO.","OA-4295905302","Torts: Personal Injury - Product Liability (365)","Personal Injury","WAG.N"
"6","IA8CB632A242B11E088699D6FD571DABA",2011-01-18,2011-01-18,"CLOSED_OTHER","PFIZER INC","OA-4295904722","Torts: Personal Injury - Product Liability (365)","Personal Injury","PFE.N"
"8","I27FA9548241D11E088699D6FD571DABA",2011-01-19,2011-06-30,"CLOSED_SUM_JUDG_PLNTF","WAL-MART STORES, INC.","OA-4295905298","Real Property: All Other Real Property (290)","All Other Federal Actions","WMT.N"
"9","I405521B5246611E09D9DAE30585BAA87",2011-01-19,2011-01-19,"CLOSED_OTHER","ACSYS, INC.","OA-4295903269","Contract: Other Contract (190)","Other Contract","ACSYS.UL"
"10","IDCB1FE8D236011E09D9DAE30585BAA87",2011-01-18,2012-08-22,"OPEN","CONTINENTAL INSURANCE COMPANY","OA-4296854865","Torts: Personal Injury - Med. Malpractice (362)","Medical","COIL.DH"
"11","I9EA3E683242B11E080558336EA473530",2011-01-19,2011-02-28,"CLOSED_SETTLED_OR_VOL_DISMISS","BRANCH BANKING AND TRUST COMPANY","OA-4296507393","Bankruptcy: Withdrawal 28 USC 157 (423)","Withdrawal","BBTVA.UL"
"12","I8035D04C240D11E088699D6FD571DABA",2011-01-19,2011-08-25,"CLOSED_SETTLED_OR_VOL_DISMISS","AIR PRODUCTS AND CHEMICALS, INC.","OA-4295903294","Contract: Other Contract (190)","Other Contract","APD.N"
"13","IA8CBB132242B11E088699D6FD571DABA",2011-01-12,2011-01-12,"CLOSED_OTHER","PFIZER INC","OA-4295904722","Torts: Personal Injury - Product Liability (365)","Personal Injury","PFE.N"
"14","I3DDE2E42246611E088699D6FD571DABA",2011-01-18,2011-01-18,"CLOSED_OTHER","PFIZER INC","OA-4295904722","Torts: Personal Injury - Product Liability (365)","Personal Injury","PFE.N"
"15","I5EDEE576234011E088699D6FD571DABA",2011-01-18,2012-06-12,"OPEN","ADESA, INC.","OA-4295902835","Torts: Assault, Libel & Slander (320)","Assault & Battery","KAR.UL"
"16","I5EDEE576234011E088699D6FD571DABA",2011-01-18,2012-06-12,"OPEN","ADESA, INC.","OA-4295902835","Torts: Assault, Libel & Slander (320)","Libel/Defamation/Slander","KAR.UL"
